feature,mean_abs_shap
base_drift,0.08673356367153445
h_step,0.014892652783260412
origin_last,0.014012982739402066
depth1__ecos__cd_91d_rate,0.011751704350245222
depth3__policy__ltv_tightness,0.010724334162747923
origin_mom12,0.009887402095401765
depth3__reb__apt_sale_index,0.009419759459916677
depth1__ecos__m2_avg,0.008401170071089826
depth3__reb__apt_jeonse_index,0.007770623513403607
depth1__ecos__base_rate,0.0064189502152574825
depth1__ecos__cpi_housing,0.005481519555358216
origin_mom6,0.004685735562746894
depth3__policy__is_regulated,0.00456344804272866
depth2__reb__apt_sale_supply_demand,0.004517891180687849
Static__평수구분,0.0031885248224623867
Static__세대수구분,0.0030356353558015445
origin_mom3,0.002810771726390374
depth3__policy__is_speculative,0.0026091523773107525
depth3__policy__is_overheated,0.0025081378053105376
depth1__ecos__mortgage_rate_new,0.0023411600049785108
Static__역세권수,0.002243823116139677
depth2__reb__apt_monthly_rent_supply_demand,0.0012935622682468824
depth2__reb__apt_jeonse_supply_demand,0.0011505527180395486
Static__호재수,0.0011272080077656854
Static__건설사등급,0.0008720390895941833
depth1__ecos__unemployment_rate,0.0008271310165111489
Static__준공구분,0.000713337628971928
Static__초품아여부,0.00037808945606139825
depth3__policy__dsr_severity,0.0001731732848948101
