모델,윈도우,단지,WAPE_P50,RMSE_P50,WAPE_시나리오평균,RMSE_시나리오평균,PICP80,Pinball,IntervalScore80,n_scen,drop%,구분
AR,BT@2022-06,영등포구|신길동|신길센트럴자이|84.98,0.0003584876132344,66.72339296597187,0.0516313310778258,9589.760163903213,1.0,887.6731458921298,26345.19672424252,1000,0.2,best
AR,BT@2022-06,송파구|오금동|송파호반베르디움더퍼스트|101.46,0.000758614106524,163.45741984119292,0.0490419623547393,8649.42295680087,1.0,805.842602454024,23606.317493727674,1000,0.7,best
RandomWalk,BT@2023-06,노원구|상계동|상계주공14단지|73.94,0.0007805113501769,78.15101310693288,0.0374022286846821,3716.330660785899,0.8333333333333334,325.2999703029257,9431.021735482143,1000,0.2,best
AR,BT@2022-06,용산구|문배동|프라임팰리스(도시형)|21.45,0.000854227672196,24.54465553883639,0.0534844045367799,1585.476255702589,1.0,143.70640192617915,4202.8119218755,1000,0.5,best
AR,BT@2023-06,관악구|봉천동|프라비다M(도시형)|30.12,0.0009289699466331,40.26786917102751,0.0552514375664476,1857.7811451170264,1.0,171.46348271397878,5009.203839157558,1000,0.1,best
AR,BT@2020-06,양천구|신월동|길훈|49.77,4.598527481700288,228709.45742942917,4.617035367408665,229653.9812598673,0.0,69383.27572807937,1345733.8747703352,1000,0.0,worst
AR,BT@2020-06,양천구|신월동|길훈|49.32,4.595364273189119,228333.99296425583,4.644496332585815,231116.35902389692,0.0,69773.42867717813,1357944.576605085,1000,0.0,worst
AR+CatBoost,BT@2020-06,양천구|신월동|길훈|49.77,2.718718992319616,137946.90045170093,2.731792267944176,138634.71164678788,0.0833333333333333,41662.761937610725,814887.8193571833,1000,0.0,worst
AR+CatBoost,BT@2020-06,양천구|신월동|길훈|49.32,2.7175679113180498,138050.47885991196,2.729314057309902,138541.4859842305,0.0833333333333333,41704.72410934749,816330.8574695368,1000,0.0,worst
AR+TFT,BT@2020-06,양천구|신월동|길훈|49.32,2.6213921830508085,138210.62994779213,2.6402034380165578,139194.803623155,0.0,40231.696816688345,787528.155212521,1000,0.0,worst
