모델,윈도우,WAPE_P50,RMSE_P50
AR,BT@2020-06,0.07088280808416729,7504.228053413324
AR,BT@2021-06,0.08443671887656333,11373.722606197902
AR,BT@2022-06,0.10959889510780177,15395.722903605978
AR,BT@2023-06,0.049540779967031615,6057.483952912521
AR,BT@2024-06,0.036669625617608,6285.5316373786345
AR+CatBoost,BT@2020-06,0.08615371904476551,9581.723902723486
AR+CatBoost,BT@2021-06,0.05922430514385466,8195.133294269288
AR+CatBoost,BT@2022-06,0.0711163272742631,9987.368421477078
AR+CatBoost,BT@2023-06,0.03248852529410232,4247.723671589107
AR+CatBoost,BT@2024-06,0.04827035370570007,8696.481006145095
AR+TFT,BT@2020-06,0.07605514292033232,7834.808081191477
AR+TFT,BT@2021-06,0.06318429814000968,8652.192715318968
AR+TFT,BT@2022-06,0.05496299406368936,7916.057727023825
AR+TFT,BT@2023-06,0.04200346270097077,5761.218791710043
AR+TFT,BT@2024-06,0.04105942103350379,7540.7124739655965
CatBoost,BT@2020-06,0.08272271609508765,8658.416820075952
CatBoost,BT@2021-06,0.04359943412405902,6332.228352385838
CatBoost,BT@2022-06,0.08799296280570937,11864.950513375767
CatBoost,BT@2023-06,0.03460172976012539,4096.138433863417
CatBoost,BT@2024-06,0.04755927738872442,8726.983153803443
RandomWalk,BT@2020-06,0.1306316715794068,13930.538235322592
RandomWalk,BT@2021-06,0.07937922678755677,10655.58683530164
RandomWalk,BT@2022-06,0.03342937067863985,4974.346206289052
RandomWalk,BT@2023-06,0.025006317606290743,3546.662950321943
RandomWalk,BT@2024-06,0.03887053175933263,7600.712418371578
SeasonalNaive,BT@2020-06,0.18122872438667895,18042.834623570423
SeasonalNaive,BT@2021-06,0.1547915668726318,19481.92780523796
SeasonalNaive,BT@2022-06,0.057739415428800345,8814.709309460786
SeasonalNaive,BT@2023-06,0.05477604778634121,7039.921851115928
SeasonalNaive,BT@2024-06,0.05036180336934699,9243.218399945059
TFT,BT@2020-06,0.08164294133250356,8315.63935053438
TFT,BT@2021-06,0.05079361979962738,7053.908366723346
TFT,BT@2022-06,0.04209290402285154,6763.820687151047
TFT,BT@2023-06,0.05974241508888151,8260.72192216004
TFT,BT@2024-06,0.03840956261549929,7264.162495820792
