변수,TFT_decoder_가중치
base_drift,0.41019049597006374
h_step,0.09197339074483449
depth2__reb__apt_sale_supply_demand,0.0535696037029425
origin_mom12,0.04373892401391152
origin_mom6,0.03735445595975158
depth1__ecos__mortgage_rate_new,0.031290482352381035
depth1__ecos__base_rate,0.02750166372382848
depth1__ecos__unemployment_rate,0.023895201312906972
depth2__reb__apt_jeonse_supply_demand,0.023499036189070104
depth3__reb__apt_jeonse_index,0.021757331260955384
depth3__reb__apt_sale_index,0.020496165358278452
origin_last,0.019494491529468434
origin_mom3,0.019288827604096337
depth1__ecos__cpi_housing,0.01820471805204538
depth1__ecos__cd_91d_rate,0.01749869257899837
depth2__reb__apt_monthly_rent_supply_demand,0.017019560818479437
depth1__ecos__m2_avg,0.01639481295908251
depth3__policy__is_speculative,0.015222594250420884
Static__역세권수,0.014610220640082053
depth3__policy__dsr_severity,0.014249730252533377
Static__호재수,0.013974665433677688
depth3__policy__ltv_tightness,0.01383556914459109
depth3__policy__is_overheated,0.01203614159066679
depth3__policy__is_regulated,0.01184931696350434
relative_time_idx,0.011053907593429073
