변수,평균중요도,평균방향,부호
base_drift,0.02913566710061973,-0.004435319243386079,↓(잔차 하향보정)
h_step,0.00996012476007109,-0.0002537394457795376,↓(잔차 하향보정)
depth1__ecos__m2_avg,0.0071023426350635644,0.000555225373597362,↑(잔차 상향보정)
origin_last,0.005774287690059492,-0.0007656528439488514,↓(잔차 하향보정)
depth1__ecos__mortgage_rate_new,0.0043298838351675615,-0.0007332539166503364,↓(잔차 하향보정)
depth3__reb__apt_sale_index,0.00429538574726641,-0.0005257236240712752,↓(잔차 하향보정)
depth1__ecos__cd_91d_rate,0.004084924298207062,-0.00011809271487668361,↓(잔차 하향보정)
origin_mom12,0.003811008834969762,0.00038388851941786796,↑(잔차 상향보정)
depth3__reb__apt_jeonse_index,0.0032123887682430955,0.00039506489361678033,↑(잔차 상향보정)
depth2__reb__apt_sale_supply_demand,0.0026342135989594955,-0.00017762924167337457,↓(잔차 하향보정)
depth1__ecos__cpi_housing,0.0025707495307308813,0.0002923031401917071,↑(잔차 상향보정)
depth2__reb__apt_monthly_rent_supply_demand,0.002020566435587858,0.0001169377417584152,↑(잔차 상향보정)
origin_mom6,0.0020160089063510174,-0.0001449581852029564,↓(잔차 하향보정)
Static__세대수구분,0.0016047842788225277,-1.197403255701462e-05,↓(잔차 하향보정)
Static__평수구분,0.0016034611413736383,8.335963653266476e-06,↑(잔차 상향보정)
origin_mom3,0.0015416867178659431,-0.00024158652150812581,↓(잔차 하향보정)
depth3__policy__is_speculative,0.0014975222593547398,0.00011434437858356488,↑(잔차 상향보정)
depth1__ecos__base_rate,0.00117132008795232,-0.0002455271558016558,↓(잔차 하향보정)
Static__역세권수,0.001125633332037601,-2.086099027562606e-05,↓(잔차 하향보정)
depth3__policy__ltv_tightness,0.0010969083699327894,-2.4361450737367465e-06,↓(잔차 하향보정)
Static__호재수,0.0009628782586212151,1.396475497942383e-05,↑(잔차 상향보정)
depth1__ecos__unemployment_rate,0.0008865042349036056,-5.06132662800978e-05,↓(잔차 하향보정)
depth2__reb__apt_jeonse_supply_demand,0.0008703042912416914,-0.00013396922379676818,↓(잔차 하향보정)
Static__건설사등급,0.0005315419243590507,-2.011519528431316e-05,↓(잔차 하향보정)
depth3__policy__is_overheated,0.0003036341073871103,4.0592170371044145e-06,↑(잔차 상향보정)
Static__초품아여부,0.0002838474959714501,2.3192541306381456e-07,↑(잔차 상향보정)
Static__준공구분,0.00018736357002009513,-1.7509904492928094e-05,↓(잔차 하향보정)
depth3__policy__dsr_severity,7.04119296757866e-05,-8.917401412095166e-06,↓(잔차 하향보정)
depth3__policy__is_regulated,1.582204413914145e-05,-2.361392185303002e-06,↓(잔차 하향보정)
